-,Item Description,Pen Type,Need Date,Needed Qty,Yield,Cost ($),Lead Time (d),Build Qty,Build Cost
10002,Clip,Fine Point Pen,46261,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,46291,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,46322,50,85,0.3,7,57.5,17.25
10002,Clip,Fine Point Pen,46352,50,85,0.3,7,57.5,17.25
10002,Clip,Medium Point Pen,45653,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45684,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45712,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45743,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45773,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45804,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45834,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45865,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45896,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45926,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45957,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,45987,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46018,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46049,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46077,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46108,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46138,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46169,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46199,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46230,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46261,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46291,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46322,150,85,0.3,7,172.5,51.75
10002,Clip,Medium Point Pen,46352,150,85,0.3,7,172.5,51.75
10002,Clip,Bold Point Pen,45653,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45684,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45712,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45743,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45773,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45804,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45834,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45865,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45896,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45926,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45957,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,45987,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46018,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46049,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46077,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46108,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46138,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46169,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46199,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46230,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46261,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46291,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46322,75,85,0.3,7,86.25,25.875
10002,Clip,Bold Point Pen,46352,75,85,0.3,7,86.25,25.875
10004,Tip,Fine Point Pen,45653,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45684,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45712,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45743,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45773,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45804,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45834,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45865,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45896,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45926,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45957,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,45987,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46018,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46049,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46077,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46108,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46138,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46169,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46199,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46230,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46261,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46291,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46322,50,90,0.6,7,55,33
10004,Tip,Fine Point Pen,46352,50,90,0.6,7,55,33
10004,Tip,Medium Point Pen,45653,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45684,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45712,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45743,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45773,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45804,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45834,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45865,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45896,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45926,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45957,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,45987,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46018,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46049,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46077,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46108,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46138,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46169,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46199,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46230,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46261,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46291,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46322,150,90,0.6,7,165,99
10004,Tip,Medium Point Pen,46352,150,90,0.6,7,165,99
10004,Tip,Bold Point Pen,45653,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45684,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45712,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45743,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45773,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45804,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45834,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45865,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45896,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45926,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45957,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,45987,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46018,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46049,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46077,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46108,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46138,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46169,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46199,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46230,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46261,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46291,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46322,75,90,0.6,7,82.5,49.5
10004,Tip,Bold Point Pen,46352,75,90,0.6,7,82.5,49.5
10003,Thrust Device,Fine Point Pen,45653,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45684,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45712,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45743,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45773,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45804,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45834,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45865,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45896,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45926,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45957,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,45987,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46018,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46049,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46077,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46108,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46138,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46169,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46199,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46230,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46261,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46291,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46322,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Fine Point Pen,46352,50,85,2.5,10,57.5,143.75
10003,Thrust Device,Medium Point Pen,45653,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45684,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45712,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45743,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45773,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45804,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45834,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45865,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45896,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45926,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45957,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,45987,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46018,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46049,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46077,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46108,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46138,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46169,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46199,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46230,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46261,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46291,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46322,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Medium Point Pen,46352,150,85,2.5,10,172.5,431.25
10003,Thrust Device,Bold Point Pen,45653,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,45684,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,45712,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,45743,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,45773,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,45804,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,45834,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,45865,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,45896,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,45926,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,45957,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,45987,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,46018,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,46049,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,46077,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,46108,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,46138,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,46169,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,46199,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,46230,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,46261,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,46291,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,46322,75,85,2.5,10,86.25,215.625
10003,Thrust Device,Bold Point Pen,46352,75,85,2.5,10,86.25,215.625
10006,Metal Ring,Fine Point Pen,45653,100,100,0.3,3,100,30
10006,Metal Ring,Fine Point Pen,45684,100,100,0.3,3,100,30
10006,Metal Ring,Fine Point Pen,45712,100,100,0.3,3,100,30
10006,Metal Ring,Fine Point Pen,45743,100,100,0.3,3,100,30
10006,Metal Ring,Fine Point Pen,45773,100,100,0.3,3,100,30
10006,Metal Ring,Fine Point Pen,45804,100,100,0.3,3,100,30
10006,Metal Ring,Fine Point Pen,45834,100,100,0.3,3,100,30
10006,Metal Ring,Fine Point Pen,45865,100,100,0.3,3,100,30
10006,Metal Ring,Fine Point Pen,45896,100,100,0.3,3,100,30
10006,Metal Ring,Fine Point Pen,45926,100,100,0.3,3,100,30
