Column1,Date,Cost,Item Number,Type
Baseline,2027-04-28,180.299955,10001,Labor
Baseline,2027-05-29,180.299955,10001,Labor
Baseline,2027-06-28,155.71359750000005,10001,Material
Baseline,2027-07-29,155.71359750000005,10001,Material
Baseline,2027-08-29,155.71359750000005,10001,Material
Baseline,2027-09-28,155.71359750000005,10001,Material
Baseline,2027-10-29,155.71359750000005,10001,Material
Baseline,2027-11-28,155.71359750000005,10001,Material
Baseline,2027-12-29,160.38500542500003,10001,Material
Baseline,2028-01-29,160.38500542500003,10001,Material
Baseline,2028-02-27,160.38500542500003,10001,Material
Baseline,2028-03-29,160.38500542500003,10001,Material
Baseline,2028-04-28,185.70895365,10001,Labor
Baseline,2028-05-29,185.70895365,10001,Labor
Baseline,2028-06-28,185.70895365,10001,Labor
Baseline,2028-07-29,185.70895365,10001,Labor
Baseline,2028-08-29,185.70895365,10001,Labor
Baseline,2028-09-28,185.70895365,10001,Labor
Baseline,2028-10-29,185.70895365,10001,Labor
Baseline,2028-11-28,160.38500542500003,10001,Material
Baseline,2028-12-29,165.19655554500002,10001,Material
Baseline,2029-01-29,165.19655554500002,10001,Material
Baseline,2029-02-26,165.19655554500002,10001,Material
Baseline,2029-03-29,165.19655554500002,10001,Material
Baseline,2029-04-28,165.19655554500002,10001,Material
Baseline,2029-05-29,165.19655554500002,10001,Material
Baseline,2029-06-28,165.19655554500002,10001,Material
Baseline,2029-07-29,165.19655554500002,10001,Material
Baseline,2029-08-29,165.19655554500002,10001,Material
Baseline,2029-09-28,191.28022221,10001,Labor
Baseline,2029-10-29,191.28022221,10001,Labor
Baseline,2029-11-28,191.28022221,10001,Labor
Baseline,2029-12-29,197.01862895000002,10001,Labor
Baseline,2030-01-29,197.01862895000002,10001,Labor
Baseline,2030-02-26,197.01862895000002,10001,Labor
Baseline,2030-03-29,197.01862895000002,10001,Labor
Baseline,2030-04-28,113.43496821500003,10001,Material
Baseline,2030-05-29,113.43496821500003,10001,Material
Baseline,2030-06-28,113.43496821500003,10001,Material
Baseline,2030-07-29,113.43496821500003,10001,Material
Baseline,2030-08-29,113.43496821500003,10001,Material
Baseline,2030-09-28,113.43496821500003,10001,Material
Baseline,2030-10-29,131.34575267000002,10001,Labor
Baseline,2030-11-28,131.34575267000002,10001,Labor
Baseline,2030-12-29,135.28612515,10001,Labor
Baseline,2031-01-29,135.28612515,10001,Labor
Baseline,2031-02-26,135.28612515,10001,Labor
Baseline,2031-03-29,135.28612515,10001,Labor
Baseline,2031-04-28,135.28612515,10001,Labor
Baseline,2031-05-29,116.83801717500002,10001,Material
Baseline,2031-06-28,116.83801717500002,10001,Material
Baseline,2031-07-29,116.83801717500002,10001,Material
Baseline,2031-08-29,116.83801717500002,10001,Material
Baseline,2031-09-28,135.28612515,10001,Labor
Baseline,2031-10-29,135.28612515,10001,Labor
Baseline,2031-11-28,135.28612515,10001,Labor
Baseline,2031-12-29,139.34470891,10001,Labor
Baseline,2032-01-29,139.34470891,10001,Labor
Baseline,2032-02-27,139.34470891,10001,Labor
Baseline,2032-03-29,139.34470891,10001,Labor
Baseline,2032-04-28,120.34315769500002,10001,Material
Baseline,2032-05-29,120.34315769500002,10001,Material
Baseline,2032-06-28,120.34315769500002,10001,Material
Baseline,2032-07-29,120.34315769500002,10001,Material
Baseline,2032-08-29,120.34315769500002,10001,Material
Baseline,2032-09-28,139.34470891,10001,Labor
Baseline,2032-10-29,69.672354477,10001,Labor
Baseline,2032-11-28,69.672354477,10001,Labor
Baseline,2032-12-29,71.76252510900001,10001,Labor
Baseline,2033-01-29,71.76252510900001,10001,Labor
Baseline,2033-02-26,71.76252510900001,10001,Labor
Baseline,2033-03-29,71.76252510900001,10001,Labor
Baseline,2033-04-28,61.97672623050002,10001,Material
Baseline,2033-05-29,61.97672623050002,10001,Material
Baseline,2033-06-28,61.97672623050002,10001,Material
Baseline,2033-07-29,61.97672623050002,10001,Material
Baseline,2033-08-29,61.97672623050002,10001,Material
Baseline,2033-09-28,61.97672623050002,10001,Material
Baseline,2033-10-29,61.97672623050002,10001,Material
Baseline,2033-11-28,61.97672623050002,10001,Material
Baseline,2033-12-29,63.83602802150001,10001,Material
